Sentence #,Word,POS,Tag
Sentence: 1,Thousands,NNS,O
,of,IN,O
,demonstrators,NNS,O
,have,VBP,O
,marched,VBN,O
,through,IN,O
,London,NNP,B-geo
,to,TO,O
,protest,VB,O
,the,DT,O
,war,NN,O
,in,IN,O
,Iraq,NNP,B-geo
,and,CC,O
,demand,VB,O
,the,DT,O
,withdrawal,NN,O
,of,IN,O
,British,JJ,B-gpe
,troops,NNS,O
,from,IN,O
,that,DT,O
,country,NN,O
,.,.,O
Sentence: 2,Scientists,NNS,O
,have,VBP,O
,discovered,VBN,O
,a,DT,O
,new,JJ,O
,species,NN,O
,of,IN,O
,insect,NN,O
,in,IN,O
,the,DT,O
,Amazon,NNP,B-geo
,Rainforest,NNP,I-geo
,.,.,O
Sentence: 3,Artists,NNS,O
,from,IN,O
,around,IN,O
,the,DT,O
,world,NN,O
,gathered,VBD,O
,in,IN,O
,Paris,NNP,B-geo
,to,TO,O
,showcase,VB,O
,their,PRP$,O
,latest,JJ,O
,works,NNS,O
,.,.,O
Sentence: 4,Police,NNS,O
,put,VBD,O
,the,DT,O
,number,NN,O
,of,IN,O
,marchers,NNS,O
,at,IN,O
,"10,000",CD,O
,while,IN,O
,organizers,NNS,O
,claimed,VBD,O
,it,PRP,O
,was,VBD,O
,"1,00,000",CD,O
,.,.,O
Sentence: 5,The,DT,O
,protest,NN,O
,comes,VBZ,O
,on,IN,O
,the,DT,O
,eve,NN,O
,of,IN,O
,the,DT,O
,annual,JJ,O
,conference,NN,O
,of,IN,O
,Britain,NNP,B-geo
,'s,POS,O
,ruling,VBG,O
,Labor,NNP,B-org
,Party,NNP,I-org
,in,IN,O
,the,DT,O
,southern,JJ,O
,English,JJ,B-gpe
,seaside,NN,O
,resort,NN,O
,of,IN,O
,Brighton,NNP,B-geo
,.,.,O
Sentence: 6,Astronomers,NNS,O
,observed,VBD,O
,a,DT,O
,remarkable,JJ,O
,event,NN,O
,involving,VBG,O
,a,DT,O
,galactic,JJ,O
,collision,NN,O
,.,.,O
Sentence: 7,Researchers,NNS,O
,studied,VBD,O
,the,DT,O
,effects,NNS,O
,of,IN,O
,climate,NN,O
,change,NN,O
,on,IN,O
,local,JJ,O
,ecosystems,NNS,O
,in,IN,O
,the,DT,O
,Arctic,NNP,B-geo
,region,NN,O
,.,.,O
Sentence: 8,Astronomers,NNS,O
,observed,VBD,O
,a,DT,O
,cluster,NN,O
,of,IN,O
,galaxies,NNS,O
,in,IN,O
,the,DT,O
,observable,JJ,O
,universe,NN,O
,.,.,O
Sentence: 9,Marine,JJ,O
,biologists,NNS,O
,discovered,VBD,O
,a,DT,O
,new,JJ,O
,species,NN,O
,of,IN,O
,jellyfish,NN,O
,in,IN,O
,the,DT,O
,deep,JJ,O
,ocean,NN,O
,.,.,O
Sentence: 10,Iranian,JJ,B-gpe
,officials,NNS,O
,say,VBP,O
,they,PRP,O
,expect,VBP,O
,to,TO,O
,get,VB,O
,access,NN,O
,to,TO,O
,sealed,JJ,O
,sensitive,JJ,O
,parts,NNS,O
,of,IN,O
,the,DT,O
,plant,NN,O
,Wednesday,NNP,B-tim
,",",",",O
,after,IN,O
,an,DT,O
,IAEA,NNP,B-org
,surveillance,NN,O
,system,NN,O
,begins,VBZ,O
,functioning,VBG,O
,.,.,O
